,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
0,Kwasi Gyamfi,"""Samsung drops out of $1 billion advertising campaign with Olympics.""",Facebook posts,"• August 2,",FALSE,FAKE,0
1,Marta Campabadal,"""Mark Zuckerberg, CEO de Meta, ha retirado la verificación” de Nicolás Maduro en Facebook e Instagram.",Facebook posts,"• August 2,",FALSE,FAKE,0
2,Maria Briceño,El 31 de julio de 2024 confirmaron el fallecimiento del expresidente Donald Trump en un accidente de helicóptero.,Facebook posts,"August 2, 2024",FALSE,FAKE,0
3,Jill Terreri,Biden Executive Order 14019 “requires our taxpayer-funded federal agencies to violate the Hatch Act and engage in illegal vote harvesting.”,Claudia Tenney,"• August 2,",pants-fire,REAL,1
4,Sara Swann,Vice President Kamala Harris “was born in Canada.”,Threads posts,"August 1, 2024",pants-fire,REAL,1
5,Ciara O'Rourke,Switzerland “no longer recognizes Islam as an official religion.”,Threads posts,"July 31, 2024",FALSE,FAKE,0
6,Ciara O'Rourke,“Netflix loses 6 million subscribers within hours of donation announcement.”,Facebook posts,"July 31, 2024",FALSE,FAKE,0
7,Maria Briceño,“Estados Unidos decide INVADIR VENEZUELA”.,Facebook posts,"July 31, 2024",FALSE,FAKE,0
8,Ciara O'Rourke,President Joe Biden “killed his first wife.”,Instagram posts,"July 31, 2024",pants-fire,REAL,1
9,Samantha Putterman,"Kamala Harris was “Indian all the way, and then all of a sudden, she made a turn and she went, she became a Black person.”",Donald Trump,"July 31, 2024",pants-fire,REAL,1
10,Louis Jacobson,"""Donald Trump intends to cut Social Security.""",Kamala Harris,"July 31, 2024",barely-true,REAL,1
11,Louis Jacobson,"“Even before the pandemic, America went into a manufacturing recession.”",Pete Buttigieg,"July 31, 2024",mostly-true,REAL,1
12,Madison Czopek,Video shows that “JD Vance endorses Project 2025.”,Kamala Harris,"July 31, 2024",FALSE,FAKE,0
13,Kwasi Gyamfi,"""Kamala just launched her presidential campaign on RuPaul's Drag Race.""",Social Media,"• July 31,",FALSE,FAKE,0
14,Ciara O'Rourke,"Says Kamala Harris tweeted, “It’s BLACK LIVES MATTER, not ‘Biden Loves Minors!’”",Viral image,"July 31, 2024",FALSE,FAKE,0
15,Ciara O'Rourke,Says Kamala Harris proposed on X that “we have the next debate at a venue Donald Trump feels more comfortable: Jeffrey Epstein’s townhouse.”,Viral image,"July 31, 2024",FALSE,FAKE,0
16,Stephanie Armour,Vice President Kamala Harris “endorsed free taxpayer-funded government health care for all illegal aliens.”,Donald Trump,"July 31, 2024",barely-true,REAL,1
17,Loreben Tuquero,Sen. J.D. Vance is “known for his obsession with couches.”,JB Pritzker,"July 31, 2024",pants-fire,REAL,1
18,Maria Briceño,Este video muestra un robo de votos en la elección del 2024 en Venezuela.,Instagram posts,"July 30, 2024",FALSE,FAKE,0
19,Sara Swann,Video shows “thousands of Christians in France gathered to pray after Olympics opening mocked Jesus Christ.”,Instagram posts,"July 30, 2024",FALSE,FAKE,0
20,Grace Abels,Project 2025 would end gay marriage.,Social Media,"July 30, 2024",FALSE,FAKE,0
21,Mia Penner,“Netflix stock tumbles almost 40%” after the company donated to Kamala Harris’ campaign.,Facebook posts,"July 30, 2024",FALSE,FAKE,0
22,Samantha Putterman,Vice President Kamala Harris is “calling for an end to the child tax credit.”,J.D. Vance,"July 30, 2024",pants-fire,REAL,1
23,Maria Briceño,Video shows “several masked men stormed a local voting station and stole the ballot boxes” in Venezuela’s 2024 election.,X posts,"July 30, 2024",FALSE,FAKE,0
24,Amy Sherman,Kamala Harris “wants to defund the police.”,Donald Trump,"July 30, 2024",barely-true,REAL,1
25,Loreben Tuquero,“100 million ballots (Democrats) prefilled now have the wrong name.”,Social Media,"July 29, 2024",FALSE,FAKE,0
26,Jeff Cercone,"""Mike Pence endorsed Kamala Harris.”",TikTok posts,"July 29, 2024",FALSE,FAKE,0
27,Sara Swann,"Kamala Harris said, “Today we celebrate the Olympics. Because Olympians are Olympic.”",Threads posts,"July 29, 2024",pants-fire,REAL,1
28,Amy Sherman,Kamala Harris “supported abolishing ICE.”,Donald Trump,"July 29, 2024",FALSE,FAKE,0
29,Sara Swann,Rose Garden video shows that President Joe Biden was taller when he emerged from July 24 Oval Office speech.,Instagram posts,"July 26, 2024",pants-fire,REAL,1
30,Louis Jacobson,"“Today, America has record energy production and we are energy independent.”",Kamala Harris,"July 26, 2024",mostly-true,REAL,1
31,Marta Campabadal,"""Taylor Swift y Beyoncé se unen para un concierto épico en apoyo a Kamala Harris!"".",X posts,"• July 26,",REAL,REAL,1
32,Jeff Cercone,ABC News reporter said “government tried to kill” former President Donald Trump.,Social Media,"July 26, 2024",REAL,REAL,1
33,Kwasi Gyamfi,"Thomas Matthew Crooks worked for BlackRock ""in the past"" and BlackRock owned the building Crooks stood on when he shot at the Trump campaign rally.",Facebook posts,"• July 26,",REAL,REAL,1
34,Marta Campabadal,"Bruce Willis murió, 23 de julio de 2024.",Facebook posts,"• July 25,",REAL,REAL,1
35,Loreben Tuquero,"Financial advisory company Austin Private Wealth shorted 12 million shares of Trump Media July 12, the day before former President Donald Trump’s attempted assassination.",Instagram posts,"July 25, 2024",REAL,REAL,1
36,Ciara O'Rourke,Video shows President Joe Biden’s July 24 address is “either CGI or a mask.”,Viral image,"July 25, 2024",pants-fire,REAL,1
37,Jeff Cercone,Videos show Jill Biden alone in Paris and at White House with Joe Biden at the same time.,X posts,"July 25, 2024",pants-fire,REAL,1
38,Marta Campabadal,Imágenes muestran a la subdirectora del FBI Janeen DiGuiseppi sentada detrás del expresidente Donald Trump durante su intento de asesinato.,X posts,"• July 25,",FALSE,FAKE,0
39,Ciara O'Rourke,"Says Bruce Willis died, as of July 23, 2024.",Viral image,"July 25, 2024",FALSE,FAKE,0
40,Ciara O'Rourke,Says Taylor Swift “announced a fund raising concert with Beyoncé in support of Harris” on July 23.,Threads posts,"July 25, 2024",FALSE,FAKE,0
41,Ciara O'Rourke,Image shows former President Donald Trump golfing July 23 with “no wound. No bandage.”,Viral image,"July 25, 2024",FALSE,FAKE,0
42,Ciara O'Rourke,President Joe Biden is stepping down from the 2024 presidential race because he’s dead.,Instagram posts,"July 25, 2024",pants-fire,REAL,1
43,Marta Campabadal,"""Muere la madre de Michelle Obama, deja herencia a 'Mi hijo Michael'"".",X posts,"• July 25,",pants-fire,REAL,1
44,Sara Swann,"Usha Vance, wife of Republican vice presidential nominee J.D. Vance, posted on X that Vice President Kamala Harris was “absolutely a DEI hire.”",Threads posts,"July 24, 2024",REAL,REAL,1
45,Ciara O'Rourke,Photo shows “Thomas Matthew Crooks wearing a quipá.”,Viral image,"July 24, 2024",REAL,REAL,1
